id,comment
TheTaoSong,侯佩岑IG6月3日发布在法国日常图集，其中有张拿杯照，周杰伦IG6月10日更新同款拿杯照#周杰伦##侯佩岑# 
虎扑的步行街,《以父之名》算不算周杰伦歌曲中的GOAT？评分戳：网页链接#虎扑影视评分##周杰伦# 
龚明威Violin,“而我独缺，你一生的了解”#电子小提琴##兰亭序##周杰伦#龚明威Violin 龚明威Violin的微博视频 
一块草莓小蛋糕mua,"老婆们请多多指教吹长笛的小蛋糕《蒲公英的约定》 纯音乐🎵~_^#蒲公英的约定##涞觅,不止丝滑##周杰伦##jk##双马尾# 🧦@涞觅润丝LimerenceM 👕@KYOUKO梗豆物语 🎀@买斤豆腐来糊墙 昆明 一块草莓小蛋糕mua的微博视频 "
周杰伦国际后援会Jay2u,周杰伦：I’m such an awesome photographer 😂 錯落著就像 一首首城市獻給天空的曲子  mojito#周杰伦# 
CristianaNobel,周杰伦！我来了#周杰伦##周杰伦海口# 
Page刘,开了全景的周杰伦专辑封面💽#周杰伦# 
sssgenius,真的，周杰伦唱这首默，真的有一说一，秒杀原唱！#周杰伦# 
红jay颜如霜,#周杰伦# 好帅！ 红jay颜如霜的微博视频 
PeterTang1993,周杰伦 家人们谁懂啊我终于画完了周杰伦15张所有专辑！！耗时两个月时间，终于画完了周杰伦15张专辑的封面插画作品。感谢周杰伦，过往青春有你的歌声作伴，也感谢自己，能坚持完成这一个&quot;最伟大的作品&quot;#周杰伦##周杰伦演唱会##周杰伦嘉年华世界巡回演唱会##jay##周杰伦新专辑最伟大的作品# 
网瘾少年1号,小杨哥 兄弟们，周董要来#疯狂小杨哥##周杰伦# 网瘾少年1号的微博视频 
周杰伦歌迷网官方微博,#周杰伦# 珍贵视频！周杰伦18年前的一段视频，这颜值真的太帅了！我就不信有人能拒绝这个视频 周杰伦歌迷网官方微博的微博视频 
周杰伦的小喇叭,一组周杰伦珍贵老照片#周杰伦##周杰伦旧照# 
酷蛙剪辑,全球播放量最高的5首中文歌，都是华语乐坛天花板，最后一首火遍全亚洲！#周杰伦##华语乐坛天花板##周杰伦华语乐坛顶流##林俊杰##邓紫棋# 酷蛙剪辑的微博视频 
环球音乐版权,今天#六一儿童节#，让我们一起搭乘《时光机》重回小时候。诶？那几位是…… 来评论区说说你都认出谁了吧～#儿童节快乐# ᵔ ıllıııllıl ♪ ｜《时光机》（作词：@方文山 作曲：#周杰伦#）QQ音乐：时光机 
