id,comment
江西卫视,高校女生跳舞，上演《恋爱告急》，又美又飒甜度超标，网友：果然内娱还得看大学生。#恋爱告急##跳舞##大学生# 江西卫视的微博视频 
演员刘妍_,一晃5⃣️月中#大学生# 的排练日常🌷 💃 
梅子的酱,燃烧吧！！我滚烫的青春！！#运动会##大学生# 北京·中国传媒大学 
猛犸新闻,【#女生穿二次元连衣裙跑接力赛# 】4月8日，安徽池州，女生穿二次元连衣裙跑接力赛，整个观众席都沸腾了 。据当事人室友称，裙子是我借给她的，反正要毕业了就玩点刺激的。#大学生# 大学生 猛犸新闻的微博视频 
考研的元気落落,论文实用工具希望大家都不要被毕业论文折磨~#毕业论文# #大学生# 
茉莉花茶有如玉的甜,#大学生 #万万没想到 #情侣 #大学生情侣拮据的生活，破防了  哎..女孩子好可怜 茉莉花茶有如玉的甜的微博视频 
我是李飞33,有人在看段子，有人在照镜子#大学生##普通话##微博vc计划# 我是李飞33的微博视频 
极品天菜,烙铁们我崩溃了🆘#直男 #0 #大学生 #腼腆男孩 #精神状态良好 极品天菜的微博视频 
升值计,天涯论坛⽆法访问了，对于很多70后、80后来说，天涯曾经是他们的精神家园，我想就此来谈⼀谈互联⽹时代的财富密码，这个财富密码，我把它称之为，互联⽹⼤学⽣三定律，简单来说，就是四个字，⼤学⽣。 为了说明这个原理，我从另⼀个⽹站的兴衰说起，⼈⼈⽹。#升值计##天涯论坛无法访问##人人网# ...全文
轻阅朴读,"#转发赠书##好书推荐#      横扫各大#推理#榜/一度超越东野圭吾《假面舞会》/#伊坂幸太郎# #小岛秀夫#力荐→#浅仓秋成#引爆狂潮现象级IP# 《#六个说谎的大学生#》讲述6个#校招##大学生#,为竞争名企offer,上演的一场沉浸式#职场#狼人杀……故事在励志与暗黑之间不断反转，结局却还有第三种可能……&lt; ...全文"
三联中读,【#中读 每天一本书#转发赠书】今天送的书是#酷威文化#出版的现象级推理小说《#六个说谎的大学生#》横扫各大推理榜单/一度超越东野圭吾《假面舞会》/#伊坂幸太郎# #小岛秀夫#力荐/同名漫画连载/舞台剧火热上演/电影即将上映……#浅仓秋成#现象级IP作品《#六个说谎的大学生#》 ...全文
江上的路,#大学##大学生##c9##名校##985##211# 这张图做的好。了解一下我国大学的层次： 首先是C9，次之是985，再次之是部属211，再次之是省属211。其中985与211差别巨大。特别是省属211，因为当时为了照顾和平衡地区差别的原因，多个省都给一个省属211大学名额，所以多数都很一般。现在的双流大学 ...全文
墨說財經,#大学生# 某西部985大学学生生活费调查表，数字背后的真相是残酷而真实。        9%的孩子生活费在1000以下，可以肯定这些孩子家庭基本是贫困的，每天30块就是温饱水平，别的消费基本是谈不上的。         1000到2000的水平总体超过55%，这是大部分正常的消费水平，中位数1500基本以上基本可以大概 ...全文
郑房有问有答,一个朋友在郑州经营快捷酒店的，上个月说，他的前台招了一个空乘专业的漂亮的小姐姐，那喜悦之情溢于言表。嘴巴都裂到耳朵上了。的确，长得漂亮，大长腿，穿着制服往前台一站，感觉自己的酒店的档次都提高了。当时，我们都觉得，这招的不是前台，也有可能是二奶。（嘘嘘）今天告诉我们，那个空乘 ...全文
HOMO猫,原神不是，我很不能理解，我一没犯错，二没有挂科，而我们辅导员因为我在空间里面经常发原神，所以对我不满，想要把我换掉？我是我们班团支书，智慧团建上也是了，换团支书很麻烦的啊？#原神##大学生# 
青蛙王子波仔,优缺点完美集于一身#表情包##今日memes##大学生# 
大学笔记墙,大学生一定要会打破信息差啊！少走弯路太香了！#大学生#  
Just_Jerry_,毕业典礼现场的我🎓💐优秀毕业生提名环节被突然念到名字时的surprise到现在脑子都还是嗡嗡的🐝ps真的很喜欢伊斯曼大礼堂的庄重感！❤️#大学生##毕业典礼##毕业季##2023毕业季# 美国·Kodak Hall at Eastman Theatre 
是安安安a,女大学生被人包围的一天发了实况！会动的我！#大学生##今年的五一疯了吗# 北京·王府井步行街 
七七爱生气气,吃饭睡觉写论文#大学生# 
周一和周二_twins,No way 今日女孩来赴约库存～周一和周二 @周一_Ink @周二_lvy #我想看看你的春天##大学生##令人心动的日常# 周一和周二_twins的微博视频 
比空白更空白的洁白,妈妈故意装作忘记给生活费，男生准备回学校 跟妈妈告别，徘徊犹豫很久 不知道怎么开口要钱，网友：每次问家里要钱总有一种负罪感😭（来源：@啊干先生（上学版） ）#社会 #母爱 #大学生 #内容过于真实 #真实事件 #你们遇到过这种情况吗 比空白更空白的洁白的微博视频 
京Gene,来看新鲜学长的雨天穿搭 📷@adonisjing2020  #少年感穿搭  ##棒球服##体育生  ##介绍一个小哥哥  ##大学生 # 
湖北专升本网,我就知道你一定会上岸，朋友圈文案都给你准备好了#湖北专升本# #大学生# 
今日最hot,近日重庆，被小姐姐睡前准备的这套操作逗笑了 已经被小姐姐种草，这蚊帐也太可爱了#大学生# 今日最hot的微博视频 
