id,comment
首都经贸大学刘颖,今年硕士生就业情况比较好。我在首经贸带5名税务硕士，2名去了国企；1名去了证券公司；1名去了事业单位；1名去了四大。我在社科院带1名硕士，考了公务员。#研究生##税务硕士##硕士研究生# 
西城大妈,因为8到了东南大学，大妈逛着逛着就发现东南有个少年班。有娃中年妇女都懂的，就算娃上不了，妈妈对这类事情也可有兴趣了。于是大妈搜了下，搜到了全国一共有三个少年班（不排除有更多的大妈没搜到），分别是中国科大、东南大学和西安交大，然后大妈就去找了下招生简章。一开始，大妈认为，这都是培 ...全文
老贾讲财务,#研究生# 一天的硕士答辩，资产评估专业研究生又一届毕业了，祝贺你们 
鸟山学长,五一假期之后可能会和钱老师@钱婧BNU 一起做一期视频（主要是我提问，老师回答的形式），各位正在考研的朋友和即将读研的朋友有任何读研考研科研方面的问题都可以评论区提问一下子，回头大家一起交流！#考研##24考研##研究生# 
葳蕤当庭,答辩结束，授予学位。研究生的阶段恍惚间就要结束了。晚上一个人沿着学校散步，哼起了歌。我唱歌很难听，但今晚我很想唱《那些花儿》。这三年我从学校得到太多。她包容的、自由的、开放的、人文的一切涵养着幼稚的我。曾经你无数次幻想想要来到这里，如今你要带着她的认可和承诺离开。广阔天地未 ...全文
钱七七77,🇯🇵日本留学生们真的不考虑去🇬🇧英国读研吗！！！太香啦真的🌟先介绍一下我的情况，我本科就读于日本立命馆大学，QS排名大概是800左右，GPA为4.14/5。但是我成功申请到了QS排名前15的英国爱丁堡大学的研究生项目🎉。今天来跟大家分享一下为什么日本留学生在英国留学有着独特的优 ...全文
每天都发疯ffff,关于师弟向课题组喝水的水桶里倒不ming液体事件以后遇到这事请大家第一时间及时报警，有些人死鸭子嘴硬不见棺材不落泪！ #活久见# #研究生# 
考研的元気落落,马荣春、马光远：法科研究生论文架构作者 马荣春，南京航空航天大学人文学院法律系教授、法学博士；马光远，海南大学法学院博士研究生。来源为青苗法鸣#法硕# #法学# #研究生# #论文# 
中医杨桢,早安，今天学生毕业答辩。#鸿儒计划##领航计划##研究生# 
西浦管小理,西浦2023届硕博研究生毕业啦！祝福大家前程似锦，开心快乐🎉XJTLU西交利物浦大学#西交利物浦大学##校园##新星v计划##毕业季##硕士##博士##苏州##校园vlog##研究生# 苏州·西交利物浦大学 西浦管小理的微博视频 
跪求师大收思政,公示期终于过了，我也是#研究生# 了嘉兴·嘉兴学院(梁林校区) #考研##保定学院##马理论考研##嘉兴学院# 
养真鱼的张宜良,别人985毕业靠实力，我在985毕业靠养母鱼#水产养殖##研究生##海王张宜良养成计划# #出圈吧大学生# #闪闪发光的同学# #我在985大学养鱼# @微博校园  养真鱼的张宜良的微博视频 青岛·中国海洋大学(鱼山校区) 
小脑斧老师,冒充导师给学生发这种短信，是什么诈骗套路？#研究生##考研复试# 
土澳大叔,留学申请季，之前给小伙伴说了一些澳洲一年制的一些研究生专业！今天咱们邀请到了一位在澳洲国立大学Master of fincial management硕士专业学姐，分享出国留学就读体验#研究生##澳洲国立大学##出国留学##留学申请季# 土澳大叔的微博视频 
别叫我奶盖仔,欢迎收看985研究生的一天#一起来投票##毕业季##研究生##华中科技大学# @华中科技大学 武汉·华中科技大学 别叫我奶盖仔的微博视频 
别叫我奶盖仔,欢迎收看985研究生的一天#一起来投票##毕业季##研究生##华中科技大学# @华中科技大学 武汉·华中科技大学 别叫我奶盖仔的微博视频 
VinceLZH,做12h实验/ELISA，满脸开心，藏都藏不住 :) VincentLZH#阿文的日常##研究生# 北京·清华大学郑裕彤医学楼 
99本人,姐也有今天#考研##研究生##考研上岸# 深圳·深圳大学丽湖校区 
皛努力,23考研，一战上岸，双非到同济初试第三，总分第二上岸交院记录我的2021-2023，那段披星戴月、踯躅独行的日子。个中辛苦，都在字里行间了……#考研上岸一路生花##考研上岸##双非考研##决战考研##考研##一战成硕##考研复试##研究生#同济大学#2024考研##2023考研##考研倒计时# 
中年美妆博母杨光,大数据把我推给每一个年龄焦虑的女孩！年纪只是数字。自信是照亮生命的灯塔，不被年龄束缚，坚信自己可以活出自己想要的样子！    #海外##研究生##离婚##全职妈妈##职场##外貌焦虑##年龄焦虑# 中年美妆博母杨光的微博视频 
